timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727184413390,0,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184413390,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184414391,49117,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184414391,775,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184414391,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184415392,49117,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184415392,3125,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184415392,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184416392,49116,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184416392,2380,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184416392,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184417392,49115,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184417392,1905,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184417392,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184418392,49095,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184418392,787,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184418392,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184419392,49095,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184419392,753,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184419392,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184420392,49094,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184420392,2337,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184420392,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184421393,49114,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184421393,1145,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184421393,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184422393,49114,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184422393,763,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184422393,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184423393,49113,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184423393,769,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727184423393,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727184424433,48936,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727184424433,24448,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
